date,temperature_2m_mean,dew_point_2m_mean,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,winddirection_10m_dominant,precipitation_sum
8/7/2023,28.2,23.3,75,1007.1,5.7,229,0.8
8/8/2023,29,23,71,1007.7,6.5,227,0.9
8/9/2023,28.7,23.4,74,1009,5.3,243,1.5
8/10/2023,28.8,23.4,74,1008.6,6.3,227,2.1
8/11/2023,29.1,23.6,74,1007.3,6.2,230,2.8
8/12/2023,29.1,23.5,73,1006.6,6.5,238,4.2
8/13/2023,29.1,23.6,74,1006.4,6.6,225,1.6
8/14/2023,29.3,23.4,72,1006.5,6.9,230,2.3
8/15/2023,28.9,23.6,74,1007,6.2,219,1.6
8/16/2023,28,22.6,73,1007.6,7.1,233,0
8/17/2023,28.3,23.1,75,1007.7,6,230,5.1
8/18/2023,29.6,22.2,67,1006.9,7.9,267,0.2
8/19/2023,30.4,22.5,65,1006,7.9,272,1.9
8/20/2023,29.8,23.7,71,1005.3,7.3,243,6.6
8/21/2023,28.9,24.5,79,1006.3,5.7,192,17
8/22/2023,28.6,24.5,80,1007.3,5.4,225,4
8/23/2023,28.7,24.1,77,1007.2,6.1,239,6.7
8/24/2023,28.2,23.6,77,1007.2,6.5,237,0.7
8/25/2023,28.3,23.3,76,1007.7,6.5,243,0.2
8/26/2023,28,23.6,78,1007.9,6.6,250,0.8
8/27/2023,28.4,22.8,72,1007,7.8,259,0
8/28/2023,29.8,22.1,64,1005.4,7.8,255,0.3
8/29/2023,29.2,23.1,71,1005,5.8,213,1.5
8/30/2023,29,24.2,76,1005.9,5.6,195,8.9
8/31/2023,29.2,24.2,76,1006.5,5.8,236,5.9
9/1/2023,28.5,24.5,80,1006.4,6,230,2.2
9/2/2023,28.6,23.6,75,1005,6.7,251,4
9/3/2023,29.3,24.3,76,1003.5,5.5,219,9.5
9/4/2023,29.1,24.1,76,1003.2,6.1,218,1.3
9/5/2023,28.4,23.1,74,1005.6,7.2,236,4.2
9/6/2023,28.4,23.1,74,1008,7.1,250,2
9/7/2023,28.3,23.7,76,1008.3,5.3,257,6.9
9/8/2023,29.4,22.5,67,1007.9,7.8,264,0.7
9/9/2023,29.4,23.2,70,1006.1,7.4,251,3.3
9/10/2023,28.6,23.2,73,1005.9,6.8,220,0.7
9/11/2023,27,23.6,82,1007.2,7.6,195,4.1
9/12/2023,28.1,23,75,1008.1,7.4,209,0.4
9/13/2023,27.8,23.3,77,1008.8,5.2,226,0.6
9/14/2023,28.3,23.4,76,1008.1,6.2,243,0.5
9/15/2023,27.4,23.5,80,1007,6,239,2.4
9/16/2023,27.9,23.2,77,1006.6,5.5,227,2.8
9/17/2023,28.2,24.8,83,1006.7,4.9,191,13.2
9/18/2023,28,25.3,86,1008.6,4.8,179,17.9
9/19/2023,28.6,24.5,80,1010.2,2.6,312,0
9/20/2023,29.2,24.7,78,1009.3,4,309,17.3
9/21/2023,29.1,24.7,78,1009,3.9,291,9.4
9/22/2023,28.3,24.4,81,1008.7,3.6,125,9.8
9/23/2023,28.4,25,83,1008.3,3.6,131,22
9/24/2023,28.7,24.9,81,1007.2,4,197,3.7
9/25/2023,29.6,25,78,1005.7,3.3,197,12.5
9/26/2023,28.5,25.5,85,1005.5,4.5,47,46.4
9/27/2023,27.5,25.1,87,1005.1,6.5,208,26.6
9/28/2023,27.3,25.1,88,1006.8,5.9,166,7.4
9/29/2023,27.9,24.3,82,1009.7,5.7,191,5.4
9/30/2023,27.9,24.1,81,1010.6,4.3,220,1.4
10/1/2023,28.2,24.6,81,1009.2,4.8,241,4.1
10/2/2023,28.5,24.4,79,1009.6,5.8,253,4.4
10/3/2023,28.9,24.3,78,1009.5,5.9,253,4.8
10/4/2023,28.1,25.7,87,1009,3.8,262,12
10/5/2023,27.5,25.3,89,1007.7,3.6,105,29.2
10/6/2023,27.3,25.4,89,1007.8,4.1,196,30.5
10/7/2023,27.5,24.8,86,1009,4.4,193,16.7
10/8/2023,27.8,24.4,83,1010.6,5,230,4.9
10/9/2023,27.8,23.5,79,1010.7,4.4,235,4.9
10/10/2023,26.9,24.8,88,1010.6,4,28,12.1
10/11/2023,27,24.9,89,1011.1,3.3,44,33.9
10/12/2023,27.4,24.8,86,1012.3,3.9,351,16.6
10/13/2023,28.5,24.8,82,1011.7,4.4,1,16.5
10/14/2023,29.2,24.3,77,1009.9,5.2,337,2.7
10/15/2023,28.7,24.5,79,1008.6,4.5,341,11.6
10/16/2023,27.9,24.9,84,1009.7,5.1,320,4.5
10/17/2023,28.3,24,79,1010.5,2.8,326,4.6
10/18/2023,28.6,24,78,1010.8,3.9,254,0.3
10/19/2023,28.7,24.8,80,1010.8,3,211,0.1
10/20/2023,29.2,24.8,79,1010.4,3.3,111,0.8
10/21/2023,26.9,25,89,1012.1,4.6,345,17
10/22/2023,26.9,24.7,88,1013.1,4.3,8,20
10/23/2023,27.9,24.4,82,1012.4,2.8,323,9.4
10/24/2023,28.6,24.7,81,1011.2,5.3,354,4.4
10/25/2023,28.1,24.7,83,1011.4,5,354,13.7
10/26/2023,27.3,24.8,87,1010.9,3.3,321,25.7
10/27/2023,28,24.7,83,1010.6,4.1,62,5.4
10/28/2023,28.2,24.9,83,1010.4,3.6,5,14
10/29/2023,27.3,24.6,85,1010.5,5.3,23,21.9
10/30/2023,26.2,24,88,1011.1,6.1,358,36.8
10/31/2023,27.3,24.1,83,1012,7.7,7,2.3
11/1/2023,28.2,23.3,77,1012.2,7.7,21,0
11/2/2023,28.8,23.8,76,1011.3,4.6,29,0
11/3/2023,29.1,24.1,76,1009.3,3.6,16,0.2
11/4/2023,28.5,25.2,83,1009.4,2.6,356,8.9
11/5/2023,28.1,25.1,85,1010.5,2.7,77,2
11/6/2023,28.8,25.4,83,1010.7,3.4,45,12.1
11/7/2023,27.3,24.8,87,1011.2,4.6,16,27.9
11/8/2023,28.2,24.3,81,1010.2,3,77,8.1
11/9/2023,27.4,24.5,85,1010.8,5,342,11.8
11/10/2023,28.1,25.5,86,1011.8,3.7,75,6.8
11/11/2023,27.9,25.6,88,1012.5,4.6,40,10.1
11/12/2023,27.7,25.2,87,1012.4,5.1,24,1.1
11/13/2023,27.8,24.8,84,1012.3,5.7,18,5.5
11/14/2023,27.7,24.5,84,1013,4.7,14,6.8
11/15/2023,27.9,23.4,77,1013.5,6.1,17,0.3
11/16/2023,28,23.7,78,1014,6,29,2.5
11/17/2023,25.8,19.8,70,1015.7,9.1,33,1.9
11/18/2023,24.6,15.7,60,1015.6,8.2,25,0
11/19/2023,23.6,16.7,67,1015,7,18,0
11/20/2023,24,18.1,71,1013.9,6.6,20,0
11/21/2023,25.4,19.2,71,1012.1,5.9,11,0
11/22/2023,26.4,20.6,73,1010.6,4.1,15,0
11/23/2023,26.7,20.6,71,1010.3,4.5,24,0
11/24/2023,26.8,20.6,70,1011.2,7.1,24,0
11/25/2023,26.6,19.5,67,1012,7.9,27,0
11/26/2023,27.4,21.5,72,1012.3,6.8,21,0
11/27/2023,27.3,21.6,72,1012,7.1,37,0.2
11/28/2023,26.2,19.1,68,1011.5,7.1,32,0
11/29/2023,24.7,19.7,74,1011.9,6,356,0
11/30/2023,27.1,21.4,73,1011.9,5.9,21,0
12/1/2023,27.7,22.8,76,1011.2,7.1,18,2.9
12/2/2023,27.5,23.7,80,1011.8,4.7,13,3.7
12/3/2023,27.6,23,77,1011.9,6.5,16,1.1
12/4/2023,27.1,23.7,82,1011.5,4.2,9,0.5
12/5/2023,27.8,24,81,1011,3,350,5
12/6/2023,28.5,24.1,79,1011.3,3.9,19,1.5
12/7/2023,27.5,24,82,1011.9,4.6,14,3.6
12/8/2023,27.7,23.5,79,1011.7,2.4,341,0
12/9/2023,27.6,23.6,80,1010.6,2.6,322,0
12/10/2023,27.8,23.2,78,1009.1,3.7,194,0
12/11/2023,28.1,22.9,75,1009.8,2.4,180,0
12/12/2023,28.4,23.1,75,1009.8,4.4,155,0
12/13/2023,27.7,23.6,79,1011.4,3,109,1.1
12/14/2023,28,23.2,77,1012.1,3.4,20,0
12/15/2023,28.1,23.5,77,1011.5,4.3,319,0.4
12/16/2023,28.1,23.8,79,1011,4.7,344,0.3
12/17/2023,28.3,23.1,75,1011.7,5.3,70,0.3
12/18/2023,27.8,21.4,70,1012.8,5.9,18,0
12/19/2023,28,21,68,1012.8,5.8,26,0
12/20/2023,28.2,21.2,68,1012.3,5.1,22,0
12/21/2023,26.1,18.8,66,1013.4,7.2,18,0
12/22/2023,23,14.2,59,1016.5,9.9,29,0
12/23/2023,22.2,12.5,55,1017.9,11.1,22,0
12/24/2023,23,13.1,54,1018.3,10.2,22,0
12/25/2023,23.5,13,52,1017.4,9.7,27,0
12/26/2023,24.4,15.2,58,1016.9,5.8,27,0
12/27/2023,25.3,17.2,63,1016.3,7.2,21,0
12/28/2023,26.3,16.7,57,1014.6,7.1,24,0
12/29/2023,26.6,17.4,59,1013.3,6.8,13,0
12/30/2023,27.7,18.6,59,1012,4.9,13,0
12/31/2023,28.6,20.1,62,1011.4,4.1,19,0
