date,dew_point_2m_mean,temperature_2m_mean,precipitation_sum,wind_speed_10m_mean,surface_pressure_mean,relative_humidity_2m_mean,pm25,station,wind_dir_sin,wind_dir_cos,month_sin,month_cos
2022-04-03,23.1,25.5,15.0,8.0,1009.4,87,11.0,62T,-0.945518575599317,0.3255681544571563,0.8660254037844387,-0.4999999999999998
2022-04-04,23.7,26.6,18.9,9.2,1009.7,84,9.0,62T,0.9510565162951536,-0.30901699437494734,0.8660254037844387,-0.4999999999999998
2022-04-05,23.5,26.0,21.1,10.0,1010.8,87,10.0,62T,0.766044443118978,-0.6427876096865394,0.8660254037844387,-0.4999999999999998
2022-04-06,23.3,25.5,9.4,5.3,1010.6,88,12.0,62T,-0.08715574274765794,-0.9961946980917455,0.8660254037844387,-0.4999999999999998
2022-04-07,23.6,26.3,5.6,8.2,1009.8,86,11.0,62T,0.6560590289905073,-0.754709580222772,0.8660254037844387,-0.4999999999999998
2022-04-08,23.6,26.3,5.1,6.9,1009.5,85,12.0,62T,0.7547095802227718,-0.6560590289905075,0.8660254037844387,-0.4999999999999998
2022-04-09,23.9,26.7,2.3,7.1,1008.7,85,16.0,62T,0.5591929034707469,-0.8290375725550416,0.8660254037844387,-0.4999999999999998
2022-04-10,24.0,27.0,0.0,7.5,1008.0,84,15.0,62T,0.9659258262890683,-0.25881904510252085,0.8660254037844387,-0.4999999999999998
2022-04-11,24.1,27.2,0.4,8.4,1007.9,84,21.0,62T,0.6560590289905073,-0.754709580222772,0.8660254037844387,-0.4999999999999998
2022-04-12,23.9,26.7,2.0,6.1,1007.2,85,16.0,62T,-0.6293203910498376,-0.7771459614569708,0.8660254037844387,-0.4999999999999998
2022-04-13,24.6,26.9,7.2,5.5,1006.7,88,19.0,62T,-0.6946583704589973,-0.7193398003386511,0.8660254037844387,-0.4999999999999998
2022-04-14,24.6,27.4,1.9,5.1,1006.4,86,18.0,62T,-0.8987940462991668,-0.43837114678907774,0.8660254037844387,-0.4999999999999998
2022-04-15,25.0,27.7,4.8,4.9,1006.9,86,17.0,62T,-0.35836794954530043,-0.9335804264972017,0.8660254037844387,-0.4999999999999998
2022-04-16,25.0,27.9,1.3,6.3,1006.4,85,18.0,62T,0.5446390350150269,-0.8386705679454242,0.8660254037844387,-0.4999999999999998
2022-04-17,24.7,28.1,1.4,8.8,1006.5,83,19.0,62T,0.7986355100472927,-0.6018150231520484,0.8660254037844387,-0.4999999999999998
2022-04-18,24.7,28.4,0.2,12.2,1007.5,81,23.0,62T,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998
2022-04-19,24.4,27.4,4.4,8.9,1008.8,84,20.0,62T,0.90630778703665,-0.42261826174069933,0.8660254037844387,-0.4999999999999998
2022-04-20,23.9,27.2,1.9,7.9,1008.5,83,17.0,62T,0.8090169943749475,-0.587785252292473,0.8660254037844387,-0.4999999999999998
2022-04-21,24.7,27.9,0.1,9.0,1007.6,83,17.0,62T,0.9205048534524404,-0.3907311284892736,0.8660254037844387,-0.4999999999999998
2022-04-22,24.8,28.5,0.3,10.4,1007.7,81,15.0,62T,0.8829475928589271,-0.46947156278589053,0.8660254037844387,-0.4999999999999998
2022-04-23,25.0,28.4,2.1,9.3,1007.3,83,16.0,62T,0.90630778703665,-0.42261826174069933,0.8660254037844387,-0.4999999999999998
2022-04-24,24.8,27.9,2.2,8.9,1006.4,84,14.0,62T,0.6946583704589971,-0.7193398003386513,0.8660254037844387,-0.4999999999999998
2022-04-25,24.7,27.4,15.7,7.6,1006.5,86,13.0,62T,0.7193398003386514,-0.694658370458997,0.8660254037844387,-0.4999999999999998
2022-04-26,24.4,27.4,2.1,6.3,1006.7,85,13.0,62T,-0.22495105434386498,-0.9743700647852352,0.8660254037844387,-0.4999999999999998
2022-04-27,24.7,27.8,0.0,7.1,1006.2,84,12.0,62T,0.788010753606722,0.6156614753256583,0.8660254037844387,-0.4999999999999998
2022-04-28,24.8,28.7,0.0,7.6,1006.1,81,13.0,62T,0.8987940462991669,-0.4383711467890775,0.8660254037844387,-0.4999999999999998
2022-04-29,24.5,28.4,2.2,8.1,1006.6,81,14.0,62T,-0.8191520442889918,0.573576436351046,0.8660254037844387,-0.4999999999999998
2022-04-30,24.7,27.6,10.7,7.0,1006.0,85,13.0,62T,-0.743144825477394,-0.6691306063588585,0.8660254037844387,-0.4999999999999998
2022-05-01,24.6,27.5,19.5,5.7,1005.4,85,15.0,62T,0.15643446504023098,-0.9876883405951377,0.49999999999999994,-0.8660254037844387
2022-05-02,24.5,27.3,11.0,5.7,1005.7,86,12.0,62T,-0.45399049973954625,-0.8910065241883681,0.49999999999999994,-0.8660254037844387
2022-05-03,24.3,27.1,11.2,6.6,1006.8,86,13.0,62T,-0.9563047559630353,-0.2923717047227371,0.49999999999999994,-0.8660254037844387
2022-05-04,24.4,26.9,22.0,5.2,1007.2,87,11.0,62T,-0.7193398003386509,-0.6946583704589975,0.49999999999999994,-0.8660254037844387
2022-05-05,24.9,27.7,11.0,9.1,1005.7,86,13.0,62T,0.4694715627858911,-0.8829475928589268,0.49999999999999994,-0.8660254037844387
2022-05-06,25.0,27.5,3.8,11.7,1004.9,87,14.0,62T,0.7071067811865476,-0.7071067811865475,0.49999999999999994,-0.8660254037844387
2022-05-07,25.1,27.6,16.4,15.1,1005.1,86,13.0,62T,0.7313537016191706,-0.6819983600624984,0.49999999999999994,-0.8660254037844387
2022-05-08,25.1,28.3,10.4,14.8,1004.9,83,15.0,62T,0.777145961456971,-0.6293203910498373,0.49999999999999994,-0.8660254037844387
2022-05-09,25.1,27.6,4.3,11.3,1006.0,87,13.0,62T,0.6560590289905073,-0.754709580222772,0.49999999999999994,-0.8660254037844387
2022-05-10,25.2,27.7,3.0,7.9,1006.4,87,13.0,62T,0.6691306063588583,-0.7431448254773941,0.49999999999999994,-0.8660254037844387
2022-05-11,25.0,27.3,11.2,6.5,1007.1,87,12.0,62T,0.17364817766693028,-0.984807753012208,0.49999999999999994,-0.8660254037844387
2022-05-12,25.0,27.3,11.8,6.3,1007.4,88,15.0,62T,-0.7771459614569711,-0.6293203910498371,0.49999999999999994,-0.8660254037844387
2022-05-13,25.0,27.6,16.4,5.7,1007.4,86,18.0,62T,-0.9876883405951378,0.15643446504023067,0.49999999999999994,-0.8660254037844387
