date,pm,location,temp,dew_point,humidity,pressure,wind_speed,precipitation,wind_dir_sin,wind_dir_cos,month,month_sin,month_cos
2023-06-07,32.25,DN,29.6,22.9,68,1006.2,5.9,1.1,-0.6156614753256578,-0.7880107536067222,6,1.2246467991473532e-16,-1.0
2023-06-07,41.75,BN,29.2,24.8,77,1006.4,8.3,7.5,-0.22495105434386498,-0.9743700647852352,6,1.2246467991473532e-16,-1.0
2023-06-07,40.25,KPS,29.4,23.0,69,1006.0,6.5,1.7,-0.48480962024633695,-0.8746197071393959,6,1.2246467991473532e-16,-1.0
2023-06-08,28.041666666666668,DN,29.1,23.2,72,1006.9,5.7,0.1,-0.6293203910498376,-0.7771459614569708,6,1.2246467991473532e-16,-1.0
2023-06-08,41.5,BN,28.8,24.8,80,1007.1,7.5,2.8,-0.34202014332566866,-0.9396926207859084,6,1.2246467991473532e-16,-1.0
2023-06-08,33.25,KPS,28.7,23.1,73,1006.8,6.2,0.0,-0.5150380749100542,-0.8571673007021123,6,1.2246467991473532e-16,-1.0
2023-06-09,28.375,DN,28.4,23.7,76,1006.3,5.7,0.5,-0.5591929034707467,-0.8290375725550417,6,1.2246467991473532e-16,-1.0
2023-06-09,44.04166666666666,BN,28.6,24.7,80,1006.4,7.6,3.0,-0.43837114678907707,-0.8987940462991671,6,1.2246467991473532e-16,-1.0
2023-06-09,30.08333333333333,KPS,28.4,23.5,76,1006.1,6.9,0.0,-0.43837114678907707,-0.8987940462991671,6,1.2246467991473532e-16,-1.0
2023-06-10,46.29166666666666,BN,28.8,24.9,80,1005.5,7.5,4.2,-0.48480962024633695,-0.8746197071393959,6,1.2246467991473532e-16,-1.0
2023-06-10,37.458333333333336,KPS,28.8,23.2,73,1005.2,6.8,0.0,-0.601815023152048,-0.798635510047293,6,1.2246467991473532e-16,-1.0
2023-06-10,35.25,DN,28.9,23.4,73,1005.4,6.1,0.9,-0.7071067811865475,-0.7071067811865477,6,1.2246467991473532e-16,-1.0
2023-06-11,36.04166666666666,KPS,29.1,22.7,70,1004.8,7.8,0.0,-0.6156614753256578,-0.7880107536067222,6,1.2246467991473532e-16,-1.0
2023-06-11,31.041666666666668,DN,29.1,23.0,71,1005.0,6.1,0.5,-0.7193398003386509,-0.6946583704589975,6,1.2246467991473532e-16,-1.0
2023-06-11,48.66666666666666,BN,28.6,24.4,78,1005.2,7.9,1.9,-0.35836794954530043,-0.9335804264972017,6,1.2246467991473532e-16,-1.0
2023-06-12,33.291666666666664,KPS,29.5,22.8,68,1005.1,7.8,0.8,-0.5446390350150271,-0.838670567945424,6,1.2246467991473532e-16,-1.0
2023-06-12,30.166666666666668,DN,29.7,22.9,68,1005.3,7.1,0.6,-0.601815023152048,-0.798635510047293,6,1.2246467991473532e-16,-1.0
2023-06-12,41.91666666666666,BN,29.2,24.5,76,1005.5,10.1,1.4,-0.35836794954530043,-0.9335804264972017,6,1.2246467991473532e-16,-1.0
2023-06-13,29.666666666666668,KPS,29.6,23.1,70,1006.0,9.1,0.2,-0.587785252292473,-0.8090169943749475,6,1.2246467991473532e-16,-1.0
2023-06-13,27.25,DN,29.7,23.2,70,1006.3,8.2,0.3,-0.6560590289905074,-0.7547095802227719,6,1.2246467991473532e-16,-1.0
2023-06-13,39.0,BN,29.3,24.7,77,1006.5,10.8,1.8,-0.4226182617406993,-0.90630778703665,6,1.2246467991473532e-16,-1.0
2023-06-14,25.666666666666668,KPS,28.1,23.9,78,1007.7,7.7,0.1,-0.34202014332566866,-0.9396926207859084,6,1.2246467991473532e-16,-1.0
2023-06-14,38.41666666666666,BN,28.9,24.7,79,1008.1,8.7,1.1,-0.46947156278589086,-0.8829475928589269,6,1.2246467991473532e-16,-1.0
2023-06-14,23.83333333333333,DN,28.6,23.6,75,1007.9,6.9,0.0,-0.6156614753256578,-0.7880107536067222,6,1.2246467991473532e-16,-1.0
2023-06-15,43.5,BN,29.1,25.0,79,1007.6,7.5,2.2,-0.46947156278589086,-0.8829475928589269,6,1.2246467991473532e-16,-1.0
